,STATE,VE_TOTAL,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,DAY_WEEK,ROUTE,MAN_COLL,RELJCT1,RELJCT2,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER,FATALS,DRUNK_DR,HARM_EV_RED,HR_RANGE
1666,5,1,0,0,0,1,1,2,3,0,0,1,0,4,1,1,1,0,6,3
1667,5,1,0,0,0,1,1,3,3,0,0,1,0,4,2,1,1,1,1,1
1668,5,2,0,0,0,2,2,5,3,2,0,1,0,1,1,1,1,0,1,4
1669,5,3,0,0,0,5,5,6,2,2,0,1,0,1,1,1,1,0,1,3
1670,5,1,0,0,0,1,1,6,2,0,0,1,0,4,1,1,1,0,0,5
1671,5,2,0,0,0,6,6,7,2,1,0,2,0,1,1,1,3,0,1,4
1672,5,2,0,0,0,3,3,7,3,2,0,1,0,1,1,1,1,0,1,5
1673,5,1,0,0,0,1,1,7,1,0,0,1,0,4,5,1,1,0,6,6
1674,5,1,0,1,1,2,2,7,2,0,0,1,0,1,2,1,1,0,3,6
1675,5,1,0,0,0,2,2,2,4,0,0,1,0,4,1,1,1,0,5,3
1676,5,1,0,0,0,1,1,3,3,0,0,1,0,4,3,1,1,1,5,6
1677,5,1,0,0,0,1,1,4,3,0,0,1,4,4,1,1,1,0,6,2
1678,5,1,0,0,0,1,1,5,3,0,0,1,0,4,1,1,1,0,0,3
1679,5,2,0,0,0,2,2,5,3,1,0,2,0,1,2,1,2,1,1,6
1680,5,2,0,0,0,2,2,6,3,2,0,1,0,1,1,1,1,0,1,2
1681,5,1,0,1,1,1,1,6,1,0,0,1,0,1,2,1,1,0,3,6
1682,5,2,0,0,0,3,3,6,2,6,1,2,0,1,1,1,1,0,1,5
1683,5,2,0,0,0,2,2,6,1,7,1,20,0,1,2,1,1,0,1,6
1684,5,2,0,0,0,6,6,7,3,6,0,1,0,1,1,1,1,1,1,5
1685,5,1,0,0,0,3,3,7,2,0,0,3,0,4,2,1,3,1,1,6
1686,5,1,0,0,0,2,2,7,3,0,0,1,0,4,2,1,1,1,6,6
1687,5,1,0,0,0,2,2,2,3,0,0,1,0,4,1,1,1,0,5,4
1688,5,1,0,0,0,1,1,2,4,0,0,6,0,1,1,1,1,0,0,4
1689,5,1,0,1,1,1,1,4,3,0,0,20,0,1,1,1,1,0,3,3
1690,5,2,0,0,0,3,3,5,3,2,0,1,0,1,2,2,2,0,1,1
1691,5,2,0,0,0,2,2,5,2,6,0,2,0,1,1,1,1,0,1,3
1692,5,2,0,0,0,2,2,6,6,6,0,2,0,1,1,1,1,0,1,4
1693,5,1,0,0,0,8,8,7,2,0,0,1,0,4,1,1,2,0,6,2
1694,5,2,0,0,0,4,4,1,3,2,0,1,0,1,1,1,1,0,1,4
1695,5,1,0,0,0,1,1,1,3,0,0,1,0,4,2,1,1,1,0,6
1696,5,2,0,0,0,2,2,2,2,2,0,1,0,1,1,1,2,1,1,5
1697,5,2,0,0,0,2,2,6,2,2,0,1,0,2,1,1,1,1,1,4
1698,5,1,0,0,0,2,2,6,1,0,0,1,0,4,1,1,1,0,6,5
1699,5,1,0,0,0,1,1,4,4,0,0,1,0,4,2,1,1,1,6,1
1700,5,1,0,0,0,2,2,7,4,0,0,1,0,4,1,1,1,1,0,3
1701,5,2,0,0,0,5,5,7,2,2,0,1,0,1,1,1,1,0,1,5
1702,5,2,0,0,0,2,2,1,2,6,0,8,0,1,1,1,1,0,1,3
1703,5,1,0,0,0,2,2,3,3,0,0,1,0,4,1,1,1,0,5,4
1704,5,1,0,0,0,1,1,3,4,0,0,1,0,4,2,1,1,1,5,6
1705,5,2,0,0,0,6,6,4,1,2,0,1,0,1,2,1,3,1,1,1
1706,5,2,0,0,0,2,2,4,2,2,0,1,0,1,2,10,1,0,1,1
1707,5,2,0,0,0,3,3,4,3,7,0,1,0,1,1,1,2,0,1,4
1708,5,1,0,0,0,3,3,4,4,0,0,1,0,4,1,1,1,0,5,5
1709,5,2,0,0,0,5,5,5,1,1,0,1,0,2,1,1,1,0,1,2
1710,5,1,0,0,0,2,2,6,3,0,0,1,0,4,1,1,1,0,0,4
1711,5,2,0,0,0,2,2,6,2,6,0,8,0,1,1,1,1,0,1,5
1712,5,2,0,0,0,3,3,1,3,2,0,1,0,1,2,1,1,2,1,1
1713,5,2,0,0,0,2,2,1,4,7,0,2,0,1,1,1,1,0,1,5
1714,5,2,0,0,0,3,3,4,4,1,0,1,0,1,1,1,1,0,1,3
1715,5,1,0,0,0,1,1,5,3,0,0,6,0,1,3,1,1,1,0,1
1716,5,2,0,0,0,2,2,5,3,2,0,1,0,1,1,1,2,0,1,5
1717,5,1,0,0,0,1,1,6,3,0,0,1,0,4,1,1,1,0,5,4
1718,5,1,0,0,0,2,2,6,2,0,0,1,0,4,1,1,1,0,5,4
1719,5,1,0,1,1,1,1,6,2,0,0,1,0,1,1,1,1,0,3,5
1720,5,2,0,0,0,2,2,6,2,2,0,1,0,1,1,1,1,0,1,5
1721,5,2,0,0,0,7,7,1,2,2,0,1,0,1,1,1,2,0,1,3
1722,5,2,0,0,0,3,3,1,2,6,0,2,0,1,1,1,2,0,1,3
1723,5,1,0,0,0,1,1,1,6,0,0,6,0,1,1,1,1,0,0,4
1724,5,1,0,0,0,1,1,1,3,0,0,1,0,4,1,1,1,0,6,5
1725,5,1,0,1,1,1,1,2,1,0,0,1,0,1,2,1,1,0,3,1
1726,5,2,0,0,0,2,2,2,3,8,0,1,0,1,1,1,1,0,1,3
1727,5,1,0,0,0,3,3,2,3,0,0,1,0,4,2,1,1,0,6,6
1728,5,2,0,0,0,2,2,3,2,6,0,2,0,1,1,1,1,0,1,3
1729,5,1,0,0,0,1,1,3,4,0,0,3,0,4,1,1,1,1,6,5
1730,5,3,0,0,0,5,5,3,2,1,0,8,0,1,1,1,2,1,1,5
1731,5,2,0,0,0,4,4,3,2,6,0,2,0,1,1,1,1,0,1,5
1732,5,1,0,0,0,1,1,4,3,0,0,1,0,4,2,1,1,0,0,6
1733,5,1,0,1,1,1,1,4,3,0,0,1,0,1,2,1,1,1,3,6
1734,5,1,0,0,0,1,1,5,3,0,0,1,0,4,1,1,1,0,1,4
1735,5,2,0,0,0,2,2,6,2,6,0,1,0,1,4,1,1,0,1,2
1736,5,1,0,1,1,1,1,6,2,0,0,1,0,1,2,1,1,0,3,6
1737,5,1,0,1,1,1,1,7,1,0,0,1,0,1,2,1,1,0,3,1
1738,5,3,2,0,3,1,4,7,1,0,1,5,0,2,2,2,1,0,1,2
1739,5,2,0,0,0,2,2,1,3,2,0,1,0,1,2,1,1,1,1,1
1740,5,2,0,0,0,3,3,1,3,6,0,1,0,1,1,1,1,0,1,5
1741,5,2,1,0,1,2,3,2,3,0,0,1,0,1,1,1,1,0,1,5
1742,5,1,0,0,0,1,1,4,4,0,0,1,0,4,2,1,1,1,5,1
1743,5,1,0,1,1,1,1,4,6,0,0,2,0,1,1,1,1,0,3,4
1744,5,1,0,0,0,1,1,5,3,0,0,1,0,4,1,1,1,0,6,4
